feature,feature_type,bin_id,bin_order,bin_label,lower_bound,upper_bound,right_closed,categories,sample_count,good_count,bad_count,default_rate,p_good,p_bad,woe,iv_component,total_iv
bill_amount_may,numeric,bin_4,4,"(65114.2, +inf]",65114.200000000026,inf,True,,3600,2872,728,0.20222222222222222,0.2048785706643843,0.18283347973396913,0.11384167363470635,0.0025096500469477495,0.01321381226404134
bill_amount_apr,numeric,bin_0,0,"(-inf, 450]",-inf,450.0,True,,3601,2797,804,0.2232713135240211,0.19952926072536642,0.2019073911406701,-0.011848236699302623,2.8176652062328926e-05,0.016928573873639188
bill_amount_apr,numeric,bin_1,1,"(450, 8709.2]",450.0,8709.2,True,,3599,2922,677,0.1881078077243679,0.2084447772903962,0.17003388128999875,0.20367643013942247,0.007823394175817575,0.016928573873639188
bill_amount_apr,numeric,bin_2,2,"(8709.2, 25259.2]",8709.2,25259.20000000002,True,,3600,2719,881,0.24472222222222223,0.19396597838878785,0.22123227506588028,-0.13153039342785444,0.003586346729258568,0.016928573873639188
bill_amount_apr,numeric,bin_3,3,"(25259.2, 61595.6]",25259.20000000002,61595.600000000006,True,,3600,2718,882,0.245,0.19389465425626762,0.2214832475843895,-0.1330319626744214,0.0036701647178665024,0.016928573873639188
bill_amount_apr,numeric,bin_4,4,"(61595.6, +inf]",61595.600000000006,inf,True,,3600,2862,738,0.205,0.2041653293391819,0.18534320491906137,0.09672083543811555,0.0018204915986342154,0.016928573873639188
payment_amount_sep,numeric,bin_0,0,"(-inf, 319.8]",-inf,319.8000000000002,True,,3600,2360,1240,0.34444444444444444,0.1683606148140223,0.3113314092106914,-0.6147497735984594,0.08789126348654422,0.1620574133846427
payment_amount_sep,numeric,bin_1,1,"(319.8, 1715]",319.8000000000002,1715.0,True,,3601,2783,818,0.22715912246598166,0.19853072287008308,0.2054210063997992,-0.034117699640572124,0.00023508062390523602,0.1620574133846427
payment_amount_sep,numeric,bin_2,2,"(1715, 3000]",1715.0,3000.0,True,,3671,2864,807,0.21983110868973033,0.2043079776042224,0.20266030869619778,0.008097328298875836,1.3341716076125594e-05,0.1620574133846427
payment_amount_sep,numeric,bin_3,3,"(3000, 6201]",3000.0,6201.0,True,,3529,2893,636,0.18022102578634175,0.2063763774473093,0.1597440080311206,0.25612899256348726,0.011943901799416786,0.1620574133846427
payment_amount_sep,numeric,bin_4,4,"(6201, +inf]",6201.0,inf,True,,3599,3118,481,0.13364823562100583,0.2224243072643629,0.12084326766219099,0.6100924542750521,0.06197382575870033,0.1620574133846427
payment_amount_aug,numeric,bin_0,0,"(-inf, 240]",-inf,240.0,True,,3601,2414,1187,0.32963065815051373,0.17221211797011518,0.2980298657297026,-0.5484667410481446,0.06900685007971841,0.14731224365873014
payment_amount_aug,numeric,bin_1,1,"(240, 1600]",240.0,1600.0,True,,3691,2820,871,0.23597940937415335,0.2011697157733319,0.21872254988078804,-0.0836551222329898,0.0014683844827946364,0.14731224365873014
payment_amount_aug,numeric,bin_2,2,"(1600, 3000]",1600.0,3000.0,True,,3859,3015,844,0.2187095102358124,0.21507792161477837,0.21194629188103903,0.014667486190241741,4.593313587257225e-05,0.14731224365873014
payment_amount_aug,numeric,bin_3,3,"(3000, 6000]",3000.0,6000.0,True,,3335,2704,631,0.18920539730134933,0.19289611640098428,0.15848914543857448,0.19646567906799092,0.0067597889148024864,0.14731224365873014
payment_amount_aug,numeric,bin_4,4,"(6000, +inf]",6000.0,inf,True,,3514,3065,449,0.12777461582242458,0.21864412824079027,0.11281214706989584,0.6617214028381226,0.07003128704554204,0.14731224365873014
payment_amount_jul,numeric,bin_0,0,"(-inf, 0]",-inf,0.0,True,,3617,2450,1167,0.3226430743710257,0.17477978674084377,0.2930104153595181,-0.5166813356463951,0.06108755910900956,0.11973533455329582
payment_amount_jul,numeric,bin_1,1,"(0, 1200]",0.0,1200.0,True,,3618,2805,813,0.22470978441127695,0.20009985378552833,0.2041661438072531,-0.020117581921010753,8.180392262663647e-05,0.11973533455329582
payment_amount_jul,numeric,bin_2,2,"(1200, 2500]",1200.0,2500.0,True,,3709,2856,853,0.2299811269884066,0.20373738454406048,0.21420504454762204,-0.050101874522923084,0.0005244493880470618,0.11973533455329582
payment_amount_jul,numeric,bin_3,3,"(2500, 5255.2]",2500.0,5255.200000000001,True,,3456,2822,634,0.18344907407407407,0.20131236403837238,0.15924206299410215,0.2344322984164298,0.009862637368879396,0.11973533455329582
payment_amount_jul,numeric,bin_4,4,"(5255.2, +inf]",5255.200000000001,inf,True,,3600,3085,515,0.14305555555555555,0.22007061089119503,0.12937633329150458,0.531222983851162,0.048178884764733164,0.11973533455329582
payment_amount_jun,numeric,bin_0,0,"(-inf, 0]",-inf,0.0,True,,3900,2690,1210,0.31025641025641026,0.19189757854570094,0.30380223365541476,-0.45941515790158394,0.05141069479715146,0.09920417423827696
payment_amount_jun,numeric,bin_1,1,"(0, 1000]",0.0,1000.0,True,,3803,2951,852,0.22403365763870628,0.2105131771334831,0.21395407202911282,-0.016213124929872785,5.578765881340605e-05,0.09920417423827696
payment_amount_jun,numeric,bin_2,2,"(1000, 2100]",1000.0,2100.0,True,,3125,2412,713,0.22816,0.17206946970507472,0.17906889195633077,-0.03987231415669494,0.00027908316291744213,0.09920417423827696
payment_amount_jun,numeric,bin_3,3,"(2100, 5000]",2100.0,5000.0,True,,3731,3039,692,0.185473063521844,0.21678970079526408,0.1737984690676371,0.22103135867433862,0.009502410359840724,0.09920417423827696
payment_amount_jun,numeric,bin_4,4,"(5000, +inf]",5000.0,inf,True,,3441,2926,515,0.14966579482708514,0.20873007382047715,0.12937633329150458,0.47831643482131597,0.037956198259553924,0.09920417423827696
payment_amount_may,numeric,bin_0,0,"(-inf, 0]",-inf,0.0,True,,4065,2886,1179,0.2900369003690037,0.20587710851966762,0.2960220855816288,-0.36315463479968646,0.03273656622396262,0.07730454153895602
payment_amount_may,numeric,bin_1,1,"(0, 1000]",0.0,1000.0,True,,3555,2723,832,0.2340365682137834,0.1942512749188688,0.20893462165892834,-0.07286883548381475,0.0010699583779532073,0.07730454153895602
payment_amount_may,numeric,bin_2,2,"(1000, 2141.4]",1000.0,2141.4000000000015,True,,3180,2445,735,0.23113207547169812,0.17442316607824257,0.1845902873635337,-0.05665437051502538,0.0005760118563680845,0.07730454153895602
payment_amount_may,numeric,bin_3,3,"(2141.4, 5000]",2141.4000000000015,5000.0,True,,3706,3001,705,0.1902320561252024,0.21407938375949503,0.17706111180825698,0.18985196094608425,0.007027991520777973,0.07730454153895602
payment_amount_may,numeric,bin_4,4,"(5000, +inf]",5000.0,inf,True,,3494,2963,531,0.15197481396680024,0.21136906672372596,0.13339189358765216,0.46031437299294514,0.03589401355989414,0.07730454153895602
payment_amount_apr,numeric,bin_0,0,"(-inf, 0]",-inf,0.0,True,,4328,3073,1255,0.28997227356746763,0.21921472130095218,0.3150959969883298,-0.36282563270352064,0.034788184515693474,0.09100190457313273
payment_amount_apr,numeric,bin_1,1,"(0, 1000]",0.0,1000.0,True,,3500,2674,826,0.236,0.19075639242537712,0.207428786547873,-0.08379090174271911,0.00139699493773394,0.09100190457313273
payment_amount_apr,numeric,bin_2,2,"(1000, 2092.4]",1000.0,2092.4000000000015,True,,2972,2275,697,0.2345222072678331,0.16229806354980209,0.17505333166018322,-0.07565613669176903,0.0009650143076991576,0.09100190457313273
payment_amount_apr,numeric,bin_3,3,"(2092.4, 5000]",2092.4000000000015,5000.0,True,,3803,3083,720,0.18932421772285038,0.21992796262615455,0.18082569958589534,0.1957664685390257,0.0076549119472756125,0.09100190457313273
payment_amount_apr,numeric,bin_4,4,"(5000, +inf]",5000.0,inf,True,,3397,2913,484,0.14247865763909331,0.20780286009771406,0.12159618521771866,0.535884244799363,0.046196798864730555,0.09100190457313273
